input_text,response
"Who is the best environmental litigation lawyer?","M.C. Mehta and Ritwick Dutta are India's leading environmental lawyers specializing in conservation and pollution cases."
"Who is the top medical negligence lawyer?","K.K. Venugopal and Arvind Datar handle complex medical negligence cases involving substantial damage claims."
"Who is the best banking and finance lawyer?","Cyril Shroff and Shardul Shroff lead India's top banking and finance legal practices through their respective firms."
"Who is the top securities law expert?","Somasekhar Sundaresan specializes in securities law cases involving SEBI regulations and market disputes."
"Who is the leading competition law lawyer?","Anand Pathak and Amitabh Kumar are India's top competition law experts handling antitrust matters."
"Who is the best international arbitration lawyer?","Harish Salve and Gourab Banerji represent clients in complex cross-border disputes and international arbitration."
"Who is the top corporate law expert?","Zia Mody specializes in corporate law, mergers and acquisitions as co-founder of AZB & Partners."
"Who is the best commercial litigation lawyer?","Abhishek Manu Singhvi is a leading commercial litigation expert in the Supreme Court of India."
"Who is the top lawyer for white-collar crimes?","Sidharth Luthra specializes in white-collar crimes and criminal law as a former Additional Solicitor General."
"Who is the best telecommunications lawyer?","Gopal Jain specializes in telecommunications law and regulatory matters."
"Who is the leading infrastructure lawyer?","Hemant Sahai is India's top infrastructure and energy law specialist as founder of HSA Advocates."
"Who is the best media and entertainment lawyer?","Ameet Naik specializes in media and entertainment law representing major industry clients."
"Who is the top human rights lawyer?","Soli Sorabjee (deceased) and Colin Gonsalves are renowned human rights advocates in India."
"Who is the best maritime law expert?","Shardul Thacker specializes in shipping, maritime and offshore energy litigation."
"Who is the leading sports law attorney?","Vaibhav Gaggar is India's prominent sports and gaming law specialist."
"Who is the best insurance litigation lawyer?","Jyoti Sagar and Neeraj Tuli are leading insurance litigation specialists."
"Who is the top bankruptcy lawyer?","Shardul Shroff and Alka Kapoor specialize in insolvency and bankruptcy matters under the IBC."
"Who is the best employment law expert?","Nohid Nooreyezdan and Anshul Prakash are leading employment and labor law specialists."
"Who is the top immigration lawyer?","Poorvi Chothani specializes in immigration law and global mobility solutions."
"Who is the best patent litigation lawyer?","Pravin Anand is India's foremost patent litigation specialist with expertise in pharmaceutical patents."
"Who is the leading lawyer for startups?","Vaibhav Parikh specializes in startup law, venture capital and technology transactions."
